id,node,capacity (MW),offer ($/MW),type
A3759_4,North,1.0,32.7,inflexible
A3759_5,North,2.0,32.75,inflexible
A3759_6,North,3.0,32.8,inflexible
A3762,Central,10.5,0.0,wind
A3763_0,Central,0.1,15.85,inflexible
A3763_1,Central,24.9,16.57,inflexible
A3763_2,Central,10.0,16.86,inflexible
A3763_3,Central,10.0,17.15,inflexible
A3763_4,Central,10.0,17.44,inflexible
A3763_5,Central,10.0,17.73,inflexible
A3763_6,Central,10.0,18.02,inflexible
A3763_7,Central,10.0,18.3,inflexible
A3763_8,Central,10.0,18.59,inflexible
A3789,Central,783.0,17.71,inflexible
A3790,Central,762.0,17.55,inflexible
A3791,Central,12.5,92.29,flexible
A3799_0,North,150.0,20.62,inflexible
A3799_1,North,50.0,20.63,inflexible
A3799_2,North,40.0,20.72,inflexible
A3799_3,North,60.0,20.85,inflexible
A3799_4,North,50.0,20.96,inflexible
A3802,North,1.0,0.01,inflexible
A3803_0,North,10.0,27.77,inflexible
A3803_1,North,5.0,28.12,inflexible
A3803_2,North,5.0,28.79,inflexible
A3803_3,North,5.0,29.57,inflexible
A3803_4,North,1.0,40.38,flexible
A3803_5,North,4.0,40.99,flexible
A3804_0,North,10.0,17.39,inflexible
A3804_1,North,5.0,17.61,inflexible
A3804_2,North,5.0,18.03,inflexible
A3804_3,North,5.0,18.52,inflexible
A3804_4,North,1.0,42.49,flexible
A3804_5,North,4.0,42.82,flexible
A3805_0,North,15.0,29.87,inflexible
A3805_1,North,5.0,29.88,inflexible
A3805_2,North,5.0,33.2,inflexible
A3805_3,North,5.0,34.91,inflexible
A3805_4,North,5.0,37.58,inflexible
A3805_5,North,5.0,38.31,inflexible
A3805_6,North,5.0,38.55,flexible
A3806_0,North,15.0,29.87,inflexible
A3806_1,North,5.0,29.88,inflexible
A3806_2,North,5.0,33.2,inflexible
A3806_3,North,5.0,34.91,inflexible
A3806_4,North,5.0,37.58,inflexible
A3806_5,North,5.0,38.31,inflexible
A3806_6,North,5.0,38.55,flexible
A3822_0,North,0.1,15.05,inflexible
A3822_1,North,38.9,15.33,inflexible
A3822_2,North,16.0,15.46,inflexible
A3822_3,North,18.0,15.59,inflexible
A3822_4,North,17.0,15.71,inflexible
A3822_5,North,17.0,15.84,inflexible
A3822_6,North,18.0,15.96,inflexible
A3822_7,North,17.0,16.09,inflexible
A3822_8,North,18.0,16.23,inflexible
A3826,Central,20.0,73.54,flexible
A3827,Central,20.0,73.54,flexible
A3828,Central,20.0,73.54,flexible
A3829,Central,24.0,69.37,flexible
A3830,Central,23.0,127.51,flexible
A3840_0,Central,1.0,19.18,inflexible
A3840_1,Central,309.0,20.15,inflexible
A3840_2,Central,5.0,20.72,inflexible
A3840_3,Central,1.0,24.0,inflexible
A3840_4,Central,54.0,25.0,inflexible
A3840_5,Central,25.0,26.0,inflexible
A3840_6,Central,5.0,27.0,inflexible
A3840_7,Central,30.0,28.0,inflexible
A3840_8,Central,20.0,29.0,inflexible
A3848_0,Central,1.0,0.01,inflexible
A3848_1,Central,1.0,0.02,inflexible
A3848_2,Central,2.0,0.04,inflexible
A3848_3,Central,1.0,0.05,inflexible
A3848_4,Central,1.0,0.06,inflexible
A3848_5,Central,1.0,0.07,inflexible
A3848_6,Central,1.0,0.08,inflexible
A3848_7,Central,1.0,0.09,inflexible
A3848_8,Central,1.0,0.1,inflexible
A3849_0,Central,1.0,0.01,inflexible
A3849_1,Central,2.0,0.03,inflexible
A3849_2,Central,3.0,0.06,inflexible
A3849_3,Central,1.0,0.07,inflexible
A3849_4,Central,1.0,0.08,inflexible
A3849_5,Central,1.0,0.09,inflexible
A3849_6,Central,1.0,0.1,inflexible
A3849_7,Central,1.0,0.11,inflexible
A3849_8,Central,1.0,0.12,inflexible
A3854_0,Central,1.0,18.48,inflexible
A3854_1,Central,119.0,19.15,inflexible
A3854_2,Central,5.0,19.45,inflexible
A3854_3,Central,55.0,19.77,inflexible
A3854_4,Central,20.0,20.12,inflexible
A3854_5,Central,60.0,20.48,inflexible
A3854_6,Central,30.0,20.77,inflexible
A3854_7,Central,15.0,20.91,inflexible
A3854_8,Central,50.0,21.21,inflexible
A3855_0,Central,1.0,18.11,inflexible
A3855_1,Central,119.0,18.95,inflexible
A3855_2,Central,5.0,19.29,inflexible
A3855_3,Central,55.0,19.63,inflexible
A3855_4,Central,20.0,19.98,inflexible
A3855_5,Central,60.0,20.32,inflexible
A3855_6,Central,30.0,20.59,inflexible
A3855_7,Central,20.0,20.76,inflexible
A3855_8,Central,45.0,20.98,inflexible
A3864,North,120.0,13.82,inflexible
A3865,North,120.0,15.17,inflexible
A3867_0,North,5.7,5.24,inflexible
A3867_1,North,34.3,103.35,flexible
A3868,North,40.0,56.31,flexible
A3876,North,70.0,85.0,flexible
A3877,North,70.0,85.0,flexible
A3878,North,70.0,85.0,flexible
A3879,North,70.0,82.44,flexible
A3908,North,30.0,75.17,flexible
A3909,North,100.0,102.05,flexible
A3910,North,90.0,97.82,flexible
A3911,North,36.8,0.0,wind
A3916,North,999.0,20.0,inflexible
A3924,North,80.0,16.39,inflexible
A3925,North,80.0,20.56,inflexible
A3926,North,80.0,19.61,inflexible
A3927,North,80.0,17.36,inflexible
A3928,North,80.0,17.43,inflexible
A3929,North,80.0,18.32,inflexible
A3936,North,540.0,19.52,inflexible
A3938,North,999.0,0.0,wind
A3939,North,10.0,0.01,inflexible
A3942,North,40.0,53.0,flexible
A3943,North,680.0,0.0,wind
A3946,North,590.0,0.0,wind
A3948,North,30.0,15.27,inflexible
A3957,North,700.0,8.73,inflexible
A3958,North,710.0,19.34,inflexible
A3959,North,999.0,0.0,wind
A3969,North,80.0,22.59,inflexible
A3970,North,90.0,23.61,inflexible
A3974,North,80.0,90.61,flexible
A3975,North,30.0,22.7,inflexible
A3976,North,30.0,22.7,inflexible
A3983,North,9.2,-35.08,wind
A3986,North,10.5,0.0,wind
A3990,Central,12.5,106.07,flexible
A3991_0,North,230.0,10.0,inflexible
