id,node,capacity (MW),offer ($/MW)
A4011_4,Central,17.69999999999999,17.8
A4011_5,Central,17.69999999999999,18.36
A4011_6,Central,17.69999999999999,19.03
A4011_7,Central,17.700000000000045,19.82
A4013_0,Central,386.5,19.01
A4013_1,Central,33.30000000000001,19.3
A4013_2,Central,33.30000000000001,20.07
A4013_3,Central,33.299999999999955,21.05
A4014,Central,12.5,104.24
A4017,Central,200.0,0.0
A4019,North,200.0,0.0
A4022_0,North,35.0,20.5
A4022_1,North,10.0,22.3
A4022_2,North,10.0,24.1
A4022_3,North,10.0,25.9
A4022_4,North,10.0,27.7
A4022_5,North,10.0,29.5
A4022_6,North,10.0,31.3
A4022_7,North,10.0,33.09
A4022_8,North,5.0,33.99
A4024_0,Central,60.0,19.7
A4024_1,Central,3.0,20.07
A4024_2,Central,3.0,20.43
A4024_3,Central,3.0,20.8
A4024_4,Central,3.0,21.17
A4024_5,Central,3.0,21.54
A4024_6,Central,3.0,21.9
A4024_7,Central,3.0,22.27
A4024_8,Central,3.0,22.64
A4030,Central,12.5,105.58
A4036,Central,14.0,248.11
A4053_0,Central,102.0,15.88
A4053_1,Central,61.0,15.9
A4053_2,Central,0.09999999999999432,40.89
A4053_3,Central,36.900000000000006,40.9
A4054_0,Central,102.0,15.87
A4054_1,Central,61.0,15.89
A4054_2,Central,0.09999999999999432,40.88
A4054_3,Central,36.900000000000006,40.89
A4055,Central,10.0,103.6
A4057,Central,60.0,21.58
A4075_0,Central,114.0,21.53
A4075_1,Central,1.0,22.54
A4075_2,Central,15.0,22.69
A4075_3,Central,1.0,22.7
A4075_4,Central,19.0,22.91
A4076_0,Central,135.0,24.27
A4076_1,Central,1.0,24.28
A4076_2,Central,34.0,24.71
A4076_3,Central,1.0,24.72
A4076_4,Central,34.0,25.27
A4076_5,Central,1.0,25.28
A4076_6,Central,24.0,25.73
A4076_7,Central,1.0,36.04
A4077_0,Central,135.0,18.59
A4077_1,Central,1.0,18.6
A4077_2,Central,34.0,18.92
A4077_3,Central,1.0,24.15
A4077_4,Central,34.0,24.66
A4077_5,Central,1.0,24.68
A4077_6,Central,24.0,25.11
A4077_7,Central,1.0,35.4
A4078_0,Central,10.0,34.0
A4078_1,Central,30.0,41.0
A4078_2,Central,20.0,43.0
A4078_3,Central,20.0,45.0
A4079_0,Central,45.0,37.0
A4079_1,Central,15.0,42.0
A4079_2,Central,20.0,45.0
A4086_0,Central,45.0,21.5
A4086_1,Central,5.0,21.51
A4086_2,Central,10.0,21.52
A4086_3,Central,24.0,21.53
A4086_4,Central,1.0,27.03
A4087_0,Central,45.0,21.5
A4087_1,Central,5.0,21.51
A4087_2,Central,10.0,21.52
A4087_3,Central,24.0,21.53
A4087_4,Central,1.0,27.03
A4092,Central,12.5,103.65
A4094_0,Central,20.0,21.42
A4094_1,Central,9.0,23.45
A4094_2,Central,9.0,25.49
A4094_3,Central,9.0,27.54
A4094_4,Central,9.0,29.59
A4094_5,Central,9.0,31.65
A4094_6,Central,9.0,33.7
A4094_7,Central,9.0,35.76
A4095_0,Central,20.0,21.4
A4095_1,Central,9.0,23.44
A4095_2,Central,9.0,25.49
A4095_3,Central,9.0,27.54
A4095_4,Central,9.0,29.59
A4095_5,Central,9.0,31.65
A4095_6,Central,9.0,33.71
A4095_7,Central,9.0,35.76
A4096_0,Central,20.0,21.4
A4096_1,Central,9.399999999999999,23.52
A4096_2,Central,9.399999999999999,25.66
A4096_3,Central,9.300000000000004,27.79
A4096_4,Central,9.399999999999999,29.93
A4096_5,Central,9.400000000000006,32.07
A4096_6,Central,9.299999999999997,34.22
A4096_7,Central,9.399999999999991,36.36
A4097_0,Central,20.0,21.41
A4097_1,Central,9.2,23.51
A4097_2,Central,9.3,25.61
A4097_3,Central,9.299999999999997,27.71
A4097_4,Central,9.200000000000003,29.82
A4097_5,Central,9.200000000000003,31.93
A4097_6,Central,9.299999999999997,34.05
A4097_7,Central,9.299999999999997,36.16
A4101,Central,168.0,19.43
A4103,Central,320.0,18.98
A4104,Central,310.0,18.91
A4105,Central,23.0,88.4
A4106,Central,5.0,92.9
A4116_0,Central,55.0,16.07
A4116_1,Central,7.0,16.29
A4116_2,Central,20.0,21.93
A4117_0,Central,55.0,16.07
A4117_1,Central,7.0,16.29
A4117_2,Central,20.0,21.93
A4118_0,Central,55.0,16.07
A4118_1,Central,7.0,16.29
A4118_2,Central,20.0,21.93
A4119_0,Central,55.0,16.07
A4119_1,Central,7.0,16.29
A4119_2,Central,20.0,21.93
A4120,Central,19.0,147.81
A4121,Central,19.0,147.81
A4123,Central,20.0,147.83
A4154_0,Central,5.5,0.07
A4154_1,Central,0.09999999999999964,0.09
A4155_0,Central,5.4,0.07
A4155_1,Central,0.09999999999999964,0.09
A4156_0,Central,16.0,26.39
A4156_1,Central,3.1000000000000014,27.06
A4156_2,Central,3.099999999999998,27.73
A4156_3,Central,3.1000000000000014,28.4
A4156_4,Central,3.099999999999998,29.07
A4156_5,Central,3.200000000000003,29.77
A4156_6,Central,3.1000000000000014,30.44
A4156_7,Central,3.0999999999999943,31.11
A4156_8,Central,3.1000000000000014,31.78
A4157_0,Central,16.0,22.43
A4157_1,Central,3.1000000000000014,23.28
A4157_2,Central,3.099999999999998,24.14
A4157_3,Central,3.1000000000000014,24.99
A4157_4,Central,3.099999999999998,25.85
A4157_5,Central,3.200000000000003,26.73
A4157_6,Central,3.1000000000000014,27.58
A4157_7,Central,3.0999999999999943,28.43
A4157_8,Central,3.1000000000000014,29.29
A4158_0,Central,50.0,24.84
A4158_1,Central,3.3999999999999986,25.04
A4158_2,Central,3.5,25.25
A4158_3,Central,3.3999999999999986,25.46
A4158_4,Central,3.5,25.67
A4158_5,Central,3.4000000000000057,25.87
A4158_6,Central,3.5,26.08
A4158_7,Central,3.3999999999999915,26.28
A4158_8,Central,3.5,26.49
A4173_0,Central,67.0,19.46
A4173_1,Central,5.700000000000003,19.73
A4173_2,Central,5.599999999999994,20.35
A4173_3,Central,5.700000000000003,21.34
A4173_4,Central,5.700000000000003,22.69
A4173_5,Central,5.599999999999994,24.36
A4174_0,Central,67.0,19.46
A4174_1,Central,5.700000000000003,19.73
A4174_2,Central,5.599999999999994,20.35
A4174_3,Central,5.700000000000003,21.34
A4174_4,Central,5.700000000000003,22.69
A4174_5,Central,5.599999999999994,24.36
A4175_0,Central,67.0,19.46
A4175_1,Central,5.700000000000003,19.73
A4175_2,Central,5.599999999999994,20.35
A4175_3,Central,5.700000000000003,21.34
A4175_4,Central,5.700000000000003,22.69
A4175_5,Central,5.599999999999994,24.36
A4176_0,Central,67.0,19.46
A4176_1,Central,5.700000000000003,19.73
A4176_2,Central,5.599999999999994,20.35
A4176_3,Central,5.700000000000003,21.34
A4176_4,Central,5.700000000000003,22.69
A4176_5,Central,5.599999999999994,24.36
A4182_0,Central,31.7,89.4
